Date,Competition,Home,Away,Result,Score
01-Nov-25,Premier League,Liverpool,Aston Villa,Home,2-0
17-May-26,Premier League,Aston Villa,Liverpool,Away,1-2
21-Sep-25,Premier League,Chelsea,Aston Villa,Home,1-1
07-Feb-26,Premier League,Aston Villa,Chelsea,Away,1-1
16-Aug-25,Premier League,Aston Villa,West Ham,Home,1-0
23-Aug-25,Premier League,Fulham,Aston Villa,Away,2-1
30-Aug-25,Premier League,Aston Villa,Arsenal,Home,2-1
14-Sep-25,Premier League,Chelsea,Aston Villa,Away,1-1
21-Sep-25,Premier League,Aston Villa,Manchester United,Home,2-2
28-Sep-25,Premier League,Newcastle,Aston Villa,Away,1-2
05-Oct-25,Premier League,Aston Villa,Liverpool,Home,1-1
19-Oct-25,Premier League,Brighton,Aston Villa,Away,2-1
26-Oct-25,Premier League,Aston Villa,Tottenham,Home,2-2
02-Nov-25,Premier League,Manchester City,Aston Villa,Away,3-0
09-Nov-25,Premier League,Aston Villa,Wolves,Home,2-0
23-Nov-25,Premier League,Everton,Aston Villa,Away,0-0
30-Nov-25,Premier League,Aston Villa,Bournemouth,Home,3-1
07-Dec-25,Premier League,Brentford,Aston Villa,Away,2-1
14-Dec-25,Premier League,Aston Villa,Leeds United,Home,2-0
21-Dec-25,Premier League,Sunderland,Aston Villa,Away,1-1
26-Dec-25,Premier League,Aston Villa,Crystal Palace,Home,2-1
01-Jan-26,Premier League,West Ham,Aston Villa,Away,1-1
04-Jan-26,Premier League,Aston Villa,Fulham,Home,1-0
17-Jan-26,Premier League,Arsenal,Aston Villa,Away,2-0
31-Jan-26,Premier League,Aston Villa,Manchester United,Home,1-1
07-Feb-26,Premier League,Newcastle,Aston Villa,Away,0-2
21-Feb-26,Premier League,Aston Villa,Liverpool,Home,1-1
28-Feb-26,Premier League,Brighton,Aston Villa,Away,1-2
07-Mar-26,Premier League,Aston Villa,Chelsea,Home,1-1
14-Mar-26,Premier League,Tottenham,Aston Villa,Away,2-1
21-Mar-26,Premier League,Manchester City,Aston Villa,Home,1-2
04-Apr-26,Premier League,Aston Villa,Everton,Home,1-0
11-Apr-26,Premier League,Wolves,Aston Villa,Away,0-2
18-Apr-26,Premier League,Bournemouth,Aston Villa,Home,0-1
25-Apr-26,Premier League,Aston Villa,Brentford,Home,2-0
02-May-26,Premier League,Leeds United,Aston Villa,Away,1-1
09-May-26,Premier League,Crystal Palace,Aston Villa,Away,2-1
17-May-26,Premier League,Aston Villa,Sunderland,Home,2-1
13-Sep-25,Premier League,Everton,Aston Villa,Home,0-0
18-Jan-26,Premier League,Aston Villa,Everton,Away,0-1
07-Feb-26,Premier League,Brighton,Aston Villa,Home,1-2
04-Jan-26,Premier League,Sunderland,Aston Villa,Home,1-1
05-Oct-25,Premier League,Crystal Palace,Aston Villa,Home,2-1
09-Nov-25,Premier League,Aston Villa,Bournemouth,Away,2-1
07-Feb-26,Premier League,Bournemouth,Aston Villa,Home,1-1
30-Nov-25,Premier League,Aston Villa,Nottingham Forest,Away,2-1
14-Mar-26,Premier League,Aston Villa,Nottingham Forest,Home,4-0
16-Aug-25,Premier League,Aston Villa,Newcastle,Away,0-0
25-Jan-26,Premier League,Newcastle,Aston Villa,Home,0-2
07-Mar-26,Premier League,Tottenham,Aston Villa,Home,0-2
17-May-26,Premier League,Aston Villa,Tottenham,Away,1-0
