Date,Competition,Home,Away,Result,Score
17-Aug-25,La Liga,Espanyol,Atletico Madrid,Away,2-1
23-Aug-25,La Liga,Atletico Madrid,Elche,Home,1-1
30-Aug-25,La Liga,Alaves,Atletico Madrid,Away,1-1
13-Sep-25,La Liga,Atletico Madrid,Villarreal,Home,2-0
17-Sep-25,UEFA Champions League,Liverpool,Atletico Madrid,Away,3-2
21-Sep-25,La Liga,Mallorca,Atletico Madrid,Away,1-1
24-Sep-25,La Liga,Atletico Madrid,Rayo Vallecano,Home,3-2
27-Sep-25,La Liga,Atletico Madrid,Real Madrid,Home,5-2
30-Sep-25,UEFA Champions League,Atletico Madrid,Eintracht Frankfurt,Home,5-1
05-Oct-25,La Liga,Celta Vigo,Atletico Madrid,Away,1-1
18-Oct-25,La Liga,Atletico Madrid,Osasuna,Home,1-0
21-Oct-25,UEFA Champions League,Arsenal,Atletico Madrid,Away,4-0
27-Oct-25,La Liga,Real Betis,Atletico Madrid,Away,0-2
01-Nov-25,La Liga,Atletico Madrid,Sevilla,Home,3-0
04-Nov-25,UEFA Champions League,Atletico Madrid,Union St.-Gilloise,Home,3-1
08-Nov-25,La Liga,Atletico Madrid,Levante,Home,3-1
23-Nov-25,La Liga,Getafe,Atletico Madrid,Away,0-1
26-Nov-25,UEFA Champions League,Atletico Madrid,Inter Milan,Home,2-1
29-Nov-25,La Liga,Atletico Madrid,Real Oviedo,Home,2-0
02-Dec-25,La Liga,Barcelona,Atletico Madrid,Away,3-1
06-Dec-25,La Liga,Athletic Bilbao,Atletico Madrid,Away,1-0
10-Mar-26,Champions League,Atletico Madrid,Tottenham,Away,5-2
18-Mar-26,Champions League,Tottenham,Atletico Madrid,Home,2-2
