Date,Competition,Home,Away,Result,Score
15-Jun-25,FIFA Club World Cup,Bayern Munich,Auckland City,Home,10-0
20-Jun-25,FIFA Club World Cup,Bayern Munich,Boca Juniors,Home,2-1
24-Jun-25,FIFA Club World Cup,Benfica,Bayern Munich,Away,1-0
29-Jun-25,FIFA Club World Cup,Flamengo,Bayern Munich,Away,2-4
05-Jul-25,FIFA Club World Cup,PSG,Bayern Munich,Away,2-0
12-Aug-25,Club Friendly,Grasshoppers,Bayern Munich,Away,1-2
07-Aug-25,Club Friendly,Bayern Munich,Tottenham,Home,4-0
02-Aug-25,Club Friendly,Bayern Munich,Lyon,Home,2-1
16-Aug-25,Franz Beckenbauer Supercup,VfB Stuttgart,Bayern Munich,Away,1-2
22-Aug-25,Bundesliga,Bayern Munich,RB Leipzig,Home,6-0
27-Aug-25,DFB-Pokal,SV Wehen Wiesbaden,Bayern Munich,Away,2-3
30-Aug-25,Bundesliga,FC Augsburg,Bayern Munich,Away,2-3
13-Sep-25,Bundesliga,Bayern Munich,Hamburg SV,Home,5-0
17-Sep-25,UEFA Champions League,Bayern Munich,Chelsea,Home,3-1
20-Sep-25,Bundesliga,Bayern Munich,Freiburg,Home,4-0
27-Sep-25,Bundesliga,Mainz,Bayern Munich,Away,0-3
01-Oct-25,UEFA Champions League,Bayern Munich,Benfica,Home,5-0
04-Oct-25,Bundesliga,Bayern Munich,Frankfurt,Home,5-2
18-Oct-25,Bundesliga,Heidenheim,Bayern Munich,Away,1-6
21-Oct-25,UEFA Champions League,Bayern Munich,Shakhtar Donetsk,Home,3-0
25-Oct-25,Bundesliga,Bochum,Bayern Munich,Away,0-5
29-Oct-25,Bundesliga,1. FC Koln,Bayern Munich,Away,1-4
02-Nov-25,UEFA Champions League,PSG,Bayern Munich,Away,1-2
08-Nov-25,Bundesliga,Bayern Munich,Union Berlin,Home,4-0
22-Nov-25,Bundesliga,Borussia Dortmund,Bayern Munich,Away,1-3
26-Nov-25,UEFA Champions League,Arsenal,Bayern Munich,Away,3-1
29-Nov-25,Bundesliga,Bayern Munich,Werder Bremen,Home,4-0
06-Dec-25,Bundesliga,Bayern Munich,Leverkusen,Home,2-1
13-Dec-25,Bundesliga,Bayern Munich,Schalke,Home,5-0
20-Dec-25,Bundesliga,Hoffenheim,Bayern Munich,Away,0-3
11-Jan-26,Bundesliga,Bayern Munich,Wolfsburg,Home,8-1
17-Jan-26,Bundesliga,St. Pauli,Bayern Munich,Away,0-5
24-Jan-26,Bundesliga,Bayern Munich,Stuttgart,Home,3-0
28-Jan-26,UEFA Champions League,Bayern Munich,Atalanta,Home,4-0
01-Feb-26,Bundesliga,Bayern Munich,Hoffenheim,Home,3-1
07-Feb-26,Bundesliga,Freiburg,Bayern Munich,Away,1-3
11-Feb-26,UEFA Champions League,Bayern Munich,Celtic,Home,4-0
18-Feb-26,UEFA Champions League,Celtic,Bayern Munich,Away,0-2
21-Feb-26,Bundesliga,Bayern Munich,Frankfurt,Home,5-0
28-Feb-26,Bundesliga,Bayern Munich,Leverkusen,Home,3-2
04-Mar-26,UEFA Champions League,Atletico Madrid,Bayern Munich,Away,1-2
08-Mar-26,Bundesliga,Bayern Munich,Bochum,Home,5-1
11-Mar-26,UEFA Champions League,Bayern Munich,PSG,Home,5-4
14-Mar-26,Bundesliga,Werder Bremen,Bayern Munich,Away,0-2
21-Mar-26,Bundesliga,Bayern Munich,Mainz,Home,5-0
04-Apr-26,UEFA Champions League,Bayern Munich,PSG,Home,5-4
08-Apr-26,UEFA Champions League,PSG,Bayern Munich,Away,1-1
11-Apr-26,Bundesliga,St. Pauli,Bayern Munich,Away,0-5
15-Apr-26,UEFA Champions League,PSG,Bayern Munich,Away,1-1
19-Apr-26,Bundesliga,Bayern Munich,Stuttgart,Home,4-2
25-Apr-26,UEFA Champions League,PSG,Bayern Munich,Away,1-1
02-May-26,Bundesliga,Bayern Munich,Wolfsburg,Home,4-0
06-May-26,UEFA Champions League,PSG,Bayern Munich,Away,1-1
09-May-26,Bundesliga,Wolfsburg,Bayern Munich,Away,0-1
16-May-26,Bundesliga,Bayern Munich,1. FC Koln,Home,5-1
23-May-26,DFB-Pokal Final,Bayern Munich,Stuttgart,Home,3-0
25-Nov-25,Champions League,Bayern Munich,Tottenham,Away,2-1
