Date,Competition,Home,Away,Result,Score
15-Aug-25,Premier League,Liverpool,Bournemouth,Home,4-2
24-Jan-26,Premier League,Bournemouth,Liverpool,Away,1-2
13-Sep-25,Premier League,Bournemouth,Chelsea,Away,1-0
31-Jan-26,Premier League,Chelsea,Bournemouth,Home,2-0
30-Nov-25,Premier League,Aston Villa,Bournemouth,Home,3-1
18-Apr-26,Premier League,Bournemouth,Aston Villa,Home,0-1
02-Dec-25,Premier League,Bournemouth,Everton,Away,0-1
30-Nov-25,Premier League,Sunderland,Bournemouth,Home,2-2
30-Nov-25,Premier League,Crystal Palace,Bournemouth,Home,1-1
23-Aug-25,Premier League,Bournemouth,Wolves,Home,1-0
30-Aug-25,Premier League,Tottenham,Bournemouth,Away,0-1
13-Sep-25,Premier League,Bournemouth,Brighton,Home,2-1
21-Sep-25,Premier League,Bournemouth,Newcastle,Home,0-0
27-Sep-25,Premier League,Leeds,Bournemouth,Away,0-0
03-Oct-25,Premier League,Bournemouth,Fulham,Home,1-1
18-Oct-25,Premier League,Crystal Palace,Bournemouth,Away,2-0
26-Oct-25,Premier League,Bournemouth,Nottingham Forest,Home,2-1
02-Nov-25,Premier League,Manchester City,Bournemouth,Away,3-0
09-Nov-25,Premier League,Aston Villa,Bournemouth,Away,2-1
22-Nov-25,Premier League,Bournemouth,West Ham,Home,2-1
29-Nov-25,Premier League,Sunderland,Bournemouth,Away,0-0
03-Dec-25,Premier League,Bournemouth,Everton,Home,1-0
06-Dec-25,Premier League,Bournemouth,Chelsea,Home,0-3
13-Dec-25,Premier League,Manchester United,Bournemouth,Away,2-1
20-Dec-25,Premier League,Bournemouth,Burnley,Home,2-0
27-Dec-25,Premier League,Brentford,Bournemouth,Away,2-0
30-Dec-25,Premier League,Chelsea,Bournemouth,Away,2-1
03-Jan-26,Premier League,Bournemouth,Arsenal,Home,1-2
07-Jan-26,Premier League,Bournemouth,Tottenham,Home,0-2
17-Jan-26,Premier League,Brighton,Bournemouth,Away,2-0
24-Jan-26,Premier League,Bournemouth,Liverpool,Home,0-2
31-Jan-26,Premier League,Wolves,Bournemouth,Away,1-1
07-Feb-26,Premier League,Bournemouth,Aston Villa,Home,1-1
11-Feb-26,Premier League,Everton,Bournemouth,Away,1-2
21-Feb-26,Premier League,West Ham,Bournemouth,Away,1-0
28-Feb-26,Premier League,Bournemouth,Sunderland,Home,1-2
03-May-26,Premier League,Bournemouth,Crystal Palace,Home,3-0Date,Competition,Home,Away,Result,Score
16-Aug-25,Premier League,Nottingham Forest,Bournemouth,Home,1-2
26-Dec-25,Premier League,Nottingham Forest,Bournemouth,Home,0-1
24-May-26,Premier League,Nottingham Forest,Bournemouth,Home,1-1Date,Competition,Home,Away,Result,Score
24-May-26,Premier League,Nottingham Forest,Bournemouth,Home,1-1
03-Jan-26,Premier League,Tottenham,Bournemouth,Home,2-0
