Date,Competition,Home,Away,Result,Score
13-Dec-25,Premier League,Liverpool,Brighton,Home,2-0
21-Mar-26,Premier League,Brighton,Liverpool,Away,1-2
27-Sep-25,Premier League,Brighton,Chelsea,Away,2-1
21-Feb-26,Premier League,Chelsea,Brighton,Home,1-0
19-Oct-25,Premier League,Brighton,Aston Villa,Away,2-1
28-Feb-26,Premier League,Brighton,Aston Villa,Away,1-2
24-Aug-25,Premier League,Everton,Brighton,Home,2-0
31-Jan-26,Premier League,Brighton,Everton,Away,1-1
16-Aug-25,Premier League,Brighton,Fulham,Home,2-1
23-Aug-25,Premier League,Everton,Brighton,Away,0-2
30-Aug-25,Premier League,Brighton,Manchester United,Home,1-1
13-Sep-25,Premier League,Arsenal,Brighton,Away,2-2
21-Sep-25,Premier League,Brighton,Nottingham Forest,Home,2-0
28-Sep-25,Premier League,Chelsea,Brighton,Home,2-1
05-Oct-25,Premier League,Brighton,Tottenham,Home,1-1
26-Oct-25,Premier League,Manchester City,Brighton,Away,3-0
02-Nov-25,Premier League,Brighton,Liverpool,Home,1-2
09-Nov-25,Premier League,Wolves,Brighton,Away,2-1
23-Nov-25,Premier League,Brighton,Southampton,Home,3-0
30-Nov-25,Premier League,Brentford,Brighton,Away,0-0
07-Dec-25,Premier League,Brighton,Everton,Home,0-2
14-Dec-25,Premier League,Brighton,Burnley,Home,5-1
21-Dec-25,Premier League,Crystal Palace,Brighton,Away,2-2
26-Dec-25,Premier League,Brighton,West Ham,Home,2-0
01-Jan-26,Premier League,Fulham,Brighton,Away,1-1
04-Jan-26,Premier League,Brighton,Arsenal,Home,1-2
17-Jan-26,Premier League,Manchester United,Brighton,Away,1-1
07-Feb-26,Premier League,Brighton,Aston Villa,Home,1-2
28-Feb-26,Premier League,Brighton,Nottingham Forest,Home,2-0
07-Mar-26,Premier League,Tottenham,Brighton,Away,2-2
14-Mar-26,Premier League,Brighton,Manchester City,Home,1-3
21-Mar-26,Premier League,Liverpool,Brighton,Away,2-1
21-Sep-25,Premier League,Sunderland,Brighton,Home,1-1
21-Feb-26,Premier League,Sunderland,Brighton,Home,2-1
23-Nov-25,Premier League,Brighton,Crystal Palace,Away,2-2
13-Sep-25,Premier League,Bournemouth,Brighton,Home,2-1
17-Jan-26,Premier League,Brighton,Bournemouth,Away,2-0
06-Dec-25,Premier League,Nottingham Forest,Brighton,Home,3-0
21-Feb-26,Premier League,Brighton,Nottingham Forest,Home,2-0
18-Oct-25,Premier League,Brighton,Newcastle,Away,2-1
18-Oct-25,Premier League,Brighton,Tottenham,Away,2-1
26-Dec-25,Premier League,Tottenham,Brighton,Home,1-2
02-May-26,Premier League,Brighton,Tottenham,Away,2-2
