Date,Competition,Home,Away,Result,Score
04-Oct-25,Premier League,Chelsea,Liverpool,Away,2-1
09-May-26,Premier League,Liverpool,Chelsea,Home,2-1
17-Aug-25,Premier League,Chelsea,Crystal Palace,Home,2-1
23-Aug-25,Premier League,West Ham,Chelsea,Away,1-1
30-Aug-25,Premier League,Chelsea,Fulham,Home,3-0
13-Sep-25,Premier League,Bournemouth,Chelsea,Away,1-0
21-Sep-25,Premier League,Chelsea,Aston Villa,Home,1-1
27-Sep-25,Premier League,Brighton,Chelsea,Away,2-1
04-Oct-25,Premier League,Chelsea,Nottingham Forest,Home,2-0
18-Oct-25,Premier League,Liverpool,Chelsea,Away,2-1
26-Oct-25,Premier League,Chelsea,Arsenal,Home,1-1
02-Nov-25,Premier League,Manchester United,Chelsea,Away,2-0
09-Nov-25,Premier League,Chelsea,Leeds United,Home,3-1
23-Nov-25,Premier League,Everton,Chelsea,Away,0-2
30-Nov-25,Premier League,Chelsea,Tottenham,Home,2-2
07-Dec-25,Premier League,Chelsea,Brentford,Home,3-0
14-Dec-25,Premier League,Newcastle,Chelsea,Away,2-1
21-Dec-25,Premier League,Chelsea,Wolves,Home,2-1
26-Dec-25,Premier League,Chelsea,Sunderland,Home,1-2
01-Jan-26,Premier League,Crystal Palace,Chelsea,Away,2-2
04-Jan-26,Premier League,Chelsea,Manchester City,Home,1-2
17-Jan-26,Premier League,West Ham,Chelsea,Away,0-1
31-Jan-26,Premier League,Chelsea,Bournemouth,Home,2-0
07-Feb-26,Premier League,Aston Villa,Chelsea,Away,1-1
21-Feb-26,Premier League,Chelsea,Brighton,Home,1-0
28-Feb-26,Premier League,Nottingham Forest,Chelsea,Away,2-2
07-Mar-26,Premier League,Chelsea,Fulham,Home,3-0
14-Mar-26,Premier League,Liverpool,Chelsea,Away,2-1
21-Mar-26,Premier League,Chelsea,Everton,Home,2-0
04-Apr-26,Premier League,Arsenal,Chelsea,Away,3-1
11-Apr-26,Premier League,Chelsea,Manchester United,Home,0-3
18-Apr-26,Premier League,Leeds United,Chelsea,Away,2-1
25-Apr-26,Premier League,Chelsea,Newcastle,Home,1-1
02-May-26,Premier League,Tottenham,Chelsea,Away,3-1
09-May-26,Premier League,Chelsea,Crystal Palace,Home,2-1
17-May-26,Premier League,Brentford,Chelsea,Away,0-0
24-May-26,Premier League,Chelsea,Sunderland,Home,1-2
14-Sep-25,Premier League,Chelsea,Aston Villa,Away,1-1
07-Mar-26,Premier League,Aston Villa,Chelsea,Home,1-1
13-Dec-25,Premier League,Chelsea,Everton,Away,2-0
28-Sep-25,Premier League,Chelsea,Brighton,Home,2-1
23-Nov-25,Premier League,Sunderland,Chelsea,Home,2-1
14-Mar-26,Premier League,Chelsea,Sunderland,Away,2-1
23-Aug-25,Premier League,Chelsea,Crystal Palace,Away,2-1
06-Dec-25,Premier League,Bournemouth,Chelsea,Home,0-3
30-Dec-25,Premier League,Chelsea,Bournemouth,Away,2-1
28-Sep-25,Premier League,Chelsea,Nottingham Forest,Away,2-2
03-Jan-26,Premier League,Nottingham Forest,Chelsea,Home,2-2
02-May-26,Premier League,Chelsea,Nottingham Forest,Away,2-1
20-Dec-25,Premier League,Newcastle,Chelsea,Home,2-2
06-Dec-25,Premier League,Tottenham,Chelsea,Home,2-2
