Date,Competition,Home,Away,Result,Score
10-Aug-25,Community Shield,Crystal Palace,Liverpool,Draw,2-2 pens
27-Sep-25,Premier League,Crystal Palace,Liverpool,Away,2-1
29-Oct-25,EFL Cup,Liverpool,Crystal Palace,Home,3-0
25-Apr-26,Premier League,Liverpool,Crystal Palace,Home,3-0
17-Aug-25,Premier League,Chelsea,Crystal Palace,Home,2-1
01-Jan-26,Premier League,Crystal Palace,Chelsea,Away,2-2
09-May-26,Premier League,Chelsea,Crystal Palace,Home,2-1
26-Dec-25,Premier League,Aston Villa,Crystal Palace,Home,2-1
09-May-26,Premier League,Crystal Palace,Aston Villa,Away,2-1
05-Oct-25,Premier League,Everton,Crystal Palace,Home,2-1
21-Dec-25,Premier League,Crystal Palace,Brighton,Away,2-2
21-Dec-25,Premier League,Crystal Palace,Sunderland,Away,1-1
16-Aug-25,Premier League,Crystal Palace,Brentford,Home,1-2
23-Aug-25,Premier League,Chelsea,Crystal Palace,Away,2-1
30-Aug-25,Premier League,Crystal Palace,Liverpool,Home,3-0
13-Sep-25,Premier League,Manchester City,Crystal Palace,Away,2-1
21-Sep-25,Premier League,Crystal Palace,Nottingham Forest,Home,2-1
28-Sep-25,Premier League,Crystal Palace,Everton,Away,1-2
05-Oct-25,Premier League,Crystal Palace,Aston Villa,Home,2-1
19-Oct-25,Premier League,Tottenham,Crystal Palace,Away,1-1
26-Oct-25,Premier League,Crystal Palace,Manchester United,Home,1-2
02-Nov-25,Premier League,Arsenal,Crystal Palace,Away,2-0
09-Nov-25,Premier League,Crystal Palace,Wolves,Home,2-0
23-Nov-25,Premier League,Brighton,Crystal Palace,Away,2-2
30-Nov-25,Premier League,Crystal Palace,Bournemouth,Home,1-1
07-Dec-25,Premier League,Newcastle,Crystal Palace,Away,1-4
14-Dec-25,Premier League,Crystal Palace,Sunderland,Home,1-1
04-Jan-26,Premier League,Manchester City,Crystal Palace,Home,1-2
17-Jan-26,Premier League,Crystal Palace,Liverpool,Home,2-1
31-Jan-26,Premier League,Nottingham Forest,Crystal Palace,Away,1-1
07-Feb-26,Premier League,Crystal Palace,Everton,Home,2-1
21-Feb-26,Premier League,Manchester United,Crystal Palace,Away,1-0
28-Feb-26,Premier League,Crystal Palace,Arsenal,Home,1-3Date,Competition,Home,Away,Result,Score
28-Feb-26,Premier League,Crystal Palace,Arsenal,Home,1-3
18-Oct-25,Premier League,Crystal Palace,Bournemouth,Away,2-0
03-May-26,Premier League,Bournemouth,Crystal Palace,Home,3-0Date,Competition,Home,Away,Result,Score
21-Dec-25,Premier League,Crystal Palace,Nottingham Forest,Away,1-1
21-Mar-26,Premier League,Nottingham Forest,Crystal Palace,Home,2-1
04-Jan-26,Premier League,Newcastle,Crystal Palace,Home,2-0
28-Sep-25,Premier League,Crystal Palace,Tottenham,Away,1-1
07-Feb-26,Premier League,Crystal Palace,Tottenham,Away,3-1
09-May-26,Premier League,Tottenham,Crystal Palace,Home,1-1
