Date,Competition,Home,Away,Result,Score
20-Sep-25,Premier League,Liverpool,Everton,Home,2-1
18-Apr-26,Premier League,Liverpool,Everton,Home,2-0
23-Nov-25,Premier League,Everton,Chelsea,Away,0-2
21-Mar-26,Premier League,Chelsea,Everton,Home,2-0
23-Nov-25,Premier League,Everton,Aston Villa,Away,0-0
04-Apr-26,Premier League,Aston Villa,Everton,Home,1-0
18-Aug-25,Premier League,Leeds United,Everton,Away,1-0
24-Aug-25,Premier League,Everton,Brighton,Home,2-0
30-Aug-25,Premier League,Wolves,Everton,Away,2-3
13-Sep-25,Premier League,Everton,Aston Villa,Home,0-0
29-Sep-25,Premier League,Everton,West Ham,Home,1-1
05-Oct-25,Premier League,Everton,Crystal Palace,Home,2-1
18-Oct-25,Premier League,Manchester City,Everton,Away,2-0
26-Oct-25,Premier League,Everton,Tottenham,Home,0-3
03-Nov-25,Premier League,Sunderland,Everton,Away,1-1
08-Nov-25,Premier League,Everton,Fulham,Home,2-0
24-Nov-25,Premier League,Manchester United,Everton,Away,0-1
29-Nov-25,Premier League,Everton,Newcastle,Home,1-4
02-Dec-25,Premier League,Bournemouth,Everton,Away,0-1
06-Dec-25,Premier League,Everton,Nottingham Forest,Home,3-0
13-Dec-25,Premier League,Chelsea,Everton,Away,2-0
20-Dec-25,Premier League,Everton,Arsenal,Home,0-1
27-Dec-25,Premier League,Burnley,Everton,Away,0-0
30-Dec-25,Premier League,Nottingham Forest,Everton,Away,0-2
04-Jan-26,Premier League,Everton,Brentford,Home,2-4
07-Jan-26,Premier League,Everton,Wolves,Home,1-1
18-Jan-26,Premier League,Aston Villa,Everton,Away,0-1
26-Jan-26,Premier League,Everton,Leeds United,Home,1-1
31-Jan-26,Premier League,Brighton,Everton,Away,1-1
07-Feb-26,Premier League,Fulham,Everton,Away,1-2Date,Competition,Home,Away,Result,Score
07-Feb-26,Premier League,Fulham,Everton,Away,1-2
23-Aug-25,Premier League,Everton,Brighton,Away,0-2
07-Dec-25,Premier League,Brighton,Everton,Home,0-2
02-Nov-25,Premier League,Sunderland,Everton,Home,1-1
07-Mar-26,Premier League,Sunderland,Everton,Home,1-2
28-Sep-25,Premier League,Crystal Palace,Everton,Away,1-2
07-Feb-26,Premier League,Crystal Palace,Everton,Home,2-1
03-Dec-25,Premier League,Bournemouth,Everton,Home,1-0
11-Feb-26,Premier League,Everton,Bournemouth,Away,1-2
28-Feb-26,Premier League,Newcastle,Everton,Home,2-3
16-Aug-25,Premier League,Tottenham,Everton,Home,1-0
24-May-26,Premier League,Tottenham,Everton,Home,1-0
