Date,Competition,Home,Away,Result,Score
13-Jul-25,Friendly,Preston,Liverpool,Away,1-3
26-Jul-25,Friendly,Liverpool,AC Milan,Home,2-4
30-Jul-25,Friendly,Yokohama FM,Liverpool,Away,1-3
04-Aug-25,Friendly,Liverpool,Athletic Bilbao,Home,4-1
04-Aug-25,Friendly,Liverpool,Athletic Bilbao,Home,3-2
10-Aug-25,Community Shield,Crystal Palace,Liverpool,Draw,2-2 pens
15-Aug-25,Premier League,Liverpool,Bournemouth,Home,4-2
25-Aug-25,Premier League,Newcastle,Liverpool,Away,3-2
31-Aug-25,Premier League,Liverpool,Arsenal,Home,1-0
14-Sep-25,Premier League,Burnley,Liverpool,Away,1-0
17-Sep-25,Champions League,Liverpool,Atletico Madrid,Home,3-2
20-Sep-25,Premier League,Liverpool,Everton,Home,2-1
23-Sep-25,EFL Cup,Liverpool,Southampton,Home,2-1
27-Sep-25,Premier League,Crystal Palace,Liverpool,Away,2-1
30-Sep-25,Champions League,Galatasaray,Liverpool,Away,1-0
04-Oct-25,Premier League,Chelsea,Liverpool,Away,2-1
19-Oct-25,Premier League,Liverpool,Man Utd,Home,2-1
22-Oct-25,Champions League,Frankfurt,Liverpool,Away,5-1
25-Oct-25,Premier League,Brentford,Liverpool,Away,3-2
29-Oct-25,EFL Cup,Liverpool,Crystal Palace,Home,3-0
01-Nov-25,Premier League,Liverpool,Aston Villa,Home,2-0
04-Nov-25,Champions League,Liverpool,Real Madrid,Home,1-0
09-Nov-25,Premier League,Man City,Liverpool,Away,3-0
22-Nov-25,Premier League,Liverpool,Nottingham Forest,Home,2-1
26-Nov-25,Champions League,Liverpool,PSV Eindhoven,Home,3-0
30-Nov-25,Premier League,West Ham,Liverpool,Away,1-2
03-Dec-25,Premier League,Liverpool,Sunderland,Home,3-1
06-Dec-25,Premier League,Leeds United,Liverpool,Away,2-2
09-Dec-25,Champions League,Inter Milan,Liverpool,Away,2-2
13-Dec-25,Premier League,Liverpool,Brighton,Home,2-0
20-Dec-25,Premier League,Tottenham,Liverpool,Away,1-1
27-Dec-25,Premier League,Liverpool,Wolves,Home,4-0
30-Dec-25,Premier League,Liverpool,Leeds United,Home,2-0
03-Jan-26,Premier League,Fulham,Liverpool,Away,1-2
07-Jan-26,Premier League,Arsenal,Liverpool,Away,1-1
17-Jan-26,Premier League,Liverpool,Burnley,Home,3-0
21-Jan-26,Champions League,Marseille,Liverpool,Away,1-1
24-Jan-26,Premier League,Bournemouth,Liverpool,Away,1-2
26-Jan-26,Champions League,Liverpool,Qarabag,Home,6-0
31-Jan-26,Premier League,Liverpool,Newcastle,Home,2-0
07-Feb-26,Premier League,Liverpool,Man City,Home,1-1
11-Feb-26,Premier League,Sunderland,Liverpool,Away,0-2
21-Feb-26,Premier League,Nottingham Forest,Liverpool,Away,0-1
28-Feb-26,Premier League,Liverpool,West Ham,Home,3-1
04-Mar-26,Premier League,Wolves,Liverpool,Away,1-1
14-Mar-26,Premier League,Liverpool,Tottenham,Home,2-0
21-Mar-26,Premier League,Brighton,Liverpool,Away,1-2
11-Apr-26,Premier League,Liverpool,Fulham,Home,3-0
18-Apr-26,Premier League,Liverpool,Everton,Home,2-0
25-Apr-26,Premier League,Liverpool,Crystal Palace,Home,3-0
02-May-26,Premier League,Man Utd,Liverpool,Away,1-2
09-May-26,Premier League,Liverpool,Chelsea,Home,2-1
17-May-26,Premier League,Aston Villa,Liverpool,Away,1-2
24-May-26,Premier League,Liverpool,Brentford,Home,3-1
18-Oct-25,Premier League,Liverpool,Chelsea,Away,2-1
14-Mar-26,Premier League,Liverpool,Chelsea,Away,2-1
05-Oct-25,Premier League,Aston Villa,Liverpool,Home,1-1
21-Feb-26,Premier League,Aston Villa,Liverpool,Home,1-1
02-Nov-25,Premier League,Brighton,Liverpool,Home,1-2
21-Mar-26,Premier League,Liverpool,Brighton,Away,2-1
05-Oct-25,Premier League,Sunderland,Liverpool,Home,1-3
30-Aug-25,Premier League,Crystal Palace,Liverpool,Home,3-0
17-Jan-26,Premier League,Crystal Palace,Liverpool,Home,2-1
24-Jan-26,Premier League,Bournemouth,Liverpool,Home,0-2
05-Oct-25,Premier League,Nottingham Forest,Liverpool,Home,2-1
24-Jan-26,Premier League,Nottingham Forest,Liverpool,Home,0-2
25-Aug-25,Premier League,Newcastle,Liverpool,Home,2-3
31-Jan-26,Premier League,Liverpool,Newcastle,Away,4-1
05-Oct-25,Premier League,Tottenham,Liverpool,Home,1-1
24-Jan-26,Premier League,Tottenham,Liverpool,Home,1-2
