Date,Competition,Home,Away,Result,Score
25-Aug-25,Premier League,Newcastle,Liverpool,Away,3-2
31-Jan-26,Premier League,Liverpool,Newcastle,Home,2-0
14-Dec-25,Premier League,Newcastle,Chelsea,Away,2-1
25-Apr-26,Premier League,Chelsea,Newcastle,Home,1-1
28-Sep-25,Premier League,Newcastle,Aston Villa,Away,1-2
07-Feb-26,Premier League,Newcastle,Aston Villa,Away,0-2
29-Nov-25,Premier League,Everton,Newcastle,Home,1-4
28-Sep-25,Premier League,Newcastle,Sunderland,Away,2-1
07-Dec-25,Premier League,Newcastle,Crystal Palace,Away,1-4
21-Sep-25,Premier League,Bournemouth,Newcastle,Home,0-0
16-Aug-25,Premier League,Aston Villa,Newcastle,Away,0-0
25-Aug-25,Premier League,Newcastle,Liverpool,Home,2-3
30-Aug-25,Premier League,Leeds United,Newcastle,Away,0-0
13-Sep-25,Premier League,Newcastle,Wolves,Home,1-0
28-Sep-25,Premier League,Newcastle,Arsenal,Home,1-2
05-Oct-25,Premier League,Newcastle,Nottingham Forest,Home,2-0
18-Oct-25,Premier League,Brighton,Newcastle,Away,2-1
25-Oct-25,Premier League,Newcastle,Fulham,Home,2-1
02-Nov-25,Premier League,West Ham,Newcastle,Away,3-1
09-Nov-25,Premier League,Brentford,Newcastle,Away,3-1
22-Nov-25,Premier League,Newcastle,Manchester City,Home,2-1
02-Dec-25,Premier League,Newcastle,Tottenham,Home,2-2
06-Dec-25,Premier League,Newcastle,Burnley,Home,2-1
14-Dec-25,Premier League,Sunderland,Newcastle,Home,1-0
20-Dec-25,Premier League,Newcastle,Chelsea,Home,2-2
26-Dec-25,Premier League,Manchester United,Newcastle,Away,1-0
30-Dec-25,Premier League,Burnley,Newcastle,Home,1-3
04-Jan-26,Premier League,Newcastle,Crystal Palace,Home,2-0
07-Jan-26,Premier League,Newcastle,Leeds United,Home,4-3
18-Jan-26,Premier League,Wolves,Newcastle,Home,0-0
25-Jan-26,Premier League,Newcastle,Aston Villa,Home,0-2
31-Jan-26,Premier League,Liverpool,Newcastle,Away,4-1
07-Feb-26,Premier League,Newcastle,Brentford,Home,2-3
10-Feb-26,Premier League,Tottenham,Newcastle,Away,1-2
21-Feb-26,Premier League,Manchester City,Newcastle,Away,2-1
28-Feb-26,Premier League,Newcastle,Everton,Home,2-3
18-Sep-25,Champions League,Newcastle,Marseille,Home,1-2
01-Oct-25,Champions League,Union St.-Gilloise,Newcastle,Away,0-4
21-Oct-25,Champions League,Newcastle,Benfica,Home,3-0
05-Nov-25,Champions League,Newcastle,PSV Eindhoven,Home,2-0
25-Nov-25,Champions League,Marseille,Newcastle,Away,2-1
10-Dec-25,Champions League,Bayer Leverkusen,Newcastle,Away,2-2
21-Jan-26,Champions League,Newcastle,Besiktas,Home,3-0
28-Jan-26,Champions League,PSG,Newcastle,Away,1-1
18-Feb-26,Champions League,Qarabag,Newcastle,Away,1-6
24-Feb-26,Champions League,Newcastle,Qarabag,Home,3-2
11-Feb-26,Premier League,Tottenham,Newcastle,Home,1-2
