Date,Competition,Home,Away,Result,Score
22-Nov-25,Premier League,Liverpool,Nottingham Forest,Home,2-1
21-Feb-26,Premier League,Nottingham Forest,Liverpool,Away,0-1
04-Oct-25,Premier League,Chelsea,Nottingham Forest,Home,2-0
28-Feb-26,Premier League,Nottingham Forest,Chelsea,Away,2-2
06-Dec-25,Premier League,Everton,Nottingham Forest,Home,3-0
30-Dec-25,Premier League,Nottingham Forest,Everton,Away,0-2
21-Sep-25,Premier League,Brighton,Nottingham Forest,Home,2-0
28-Feb-26,Premier League,Brighton,Nottingham Forest,Home,2-0
28-Feb-26,Premier League,Nottingham Forest,Sunderland,Away,2-0
21-Sep-25,Premier League,Crystal Palace,Nottingham Forest,Home,2-1
31-Jan-26,Premier League,Nottingham Forest,Crystal Palace,Away,1-1
26-Oct-25,Premier League,Bournemouth,Nottingham Forest,Home,2-1
16-Aug-25,Premier League,Nottingham Forest,Bournemouth,Home,1-2
23-Aug-25,Premier League,Southampton,Nottingham Forest,Away,1-1
30-Aug-25,Premier League,Nottingham Forest,Manchester United,Home,2-2
14-Sep-25,Premier League,Arsenal,Nottingham Forest,Away,2-2
21-Sep-25,Premier League,Nottingham Forest,Wolves,Home,2-1
28-Sep-25,Premier League,Chelsea,Nottingham Forest,Away,2-2
05-Oct-25,Premier League,Nottingham Forest,Liverpool,Home,2-1
18-Oct-25,Premier League,Manchester City,Nottingham Forest,Away,1-1
26-Oct-25,Premier League,Nottingham Forest,Leeds United,Home,1-2
02-Nov-25,Premier League,Nottingham Forest,Manchester United,Home,0-2
09-Nov-25,Premier League,Tottenham,Nottingham Forest,Away,0-3
23-Nov-25,Premier League,Nottingham Forest,West Ham,Home,2-2
30-Nov-25,Premier League,Aston Villa,Nottingham Forest,Away,2-1
06-Dec-25,Premier League,Nottingham Forest,Brighton,Home,3-0
14-Dec-25,Premier League,Nottingham Forest,Sunderland,Away,5-0
21-Dec-25,Premier League,Crystal Palace,Nottingham Forest,Away,1-1
26-Dec-25,Premier League,Nottingham Forest,Bournemouth,Home,0-1
29-Dec-25,Premier League,Manchester City,Nottingham Forest,Home,1-2
03-Jan-26,Premier League,Nottingham Forest,Chelsea,Home,2-2
17-Jan-26,Premier League,Fulham,Nottingham Forest,Away,1-1
24-Jan-26,Premier League,Nottingham Forest,Liverpool,Home,0-2
01-Feb-26,Premier League,Nottingham Forest,Manchester City,Home,1-3
07-Feb-26,Premier League,Wolves,Nottingham Forest,Away,1-1
21-Feb-26,Premier League,Brighton,Nottingham Forest,Home,2-0
28-Feb-26,Premier League,Nottingham Forest,Tottenham,Home,3-0
07-Mar-26,Premier League,Nottingham Forest,West Ham,Home,1-1
14-Mar-26,Premier League,Aston Villa,Nottingham Forest,Home,4-0
21-Mar-26,Premier League,Nottingham Forest,Crystal Palace,Home,2-1
04-Apr-26,Premier League,Leeds United,Nottingham Forest,Away,1-1
11-Apr-26,Premier League,Nottingham Forest,Sunderland,Home,1-2
18-Apr-26,Premier League,Fulham,Nottingham Forest,Home,0-2
25-Apr-26,Premier League,Nottingham Forest,Arsenal,Home,0-1
02-May-26,Premier League,Chelsea,Nottingham Forest,Away,2-1
09-May-26,Premier League,Nottingham Forest,Manchester United,Home,1-1
17-May-26,Premier League,Tottenham,Nottingham Forest,Away,1-1
24-May-26,Premier League,Nottingham Forest,Bournemouth,Home,1-1Date,Competition,Home,Away,Result,Score
24-May-26,Premier League,Nottingham Forest,Bournemouth,Home,1-1
05-Oct-25,Premier League,Newcastle,Nottingham Forest,Home,2-0
14-Dec-25,Premier League,Nottingham Forest,Tottenham,Away,3-0
21-Mar-26,Premier League,Nottingham Forest,Tottenham,Home,3-0
