Date,Competition,Home,Away,Result,Score
17-Aug-25,Ligue 1,Nantes,PSG,Away,0-1
22-Aug-25,Ligue 1,PSG,Angers,Home,1-0
30-Aug-25,Ligue 1,Toulouse,PSG,Away,3-6
14-Sep-25,Ligue 1,PSG,Lens,Home,2-0
17-Sep-25,UEFA Champions League,PSG,Atalanta,Home,4-0
22-Sep-25,Ligue 1,Marseille,PSG,Away,1-0
27-Sep-25,Ligue 1,PSG,Auxerre,Home,2-0
01-Oct-25,UEFA Champions League,Barcelona,PSG,Away,1-2
05-Oct-25,Ligue 1,Lille,PSG,Away,1-1
17-Oct-25,Ligue 1,PSG,Strasbourg,Home,3-3
21-Oct-25,UEFA Champions League,Leverkusen,PSG,Away,2-7
25-Oct-25,Ligue 1,Brest,PSG,Away,0-3
29-Oct-25,Ligue 1,Lorient,PSG,Away,1-1
01-Nov-25,Ligue 1,PSG,Nice,Home,1-0
04-Nov-25,UEFA Champions League,PSG,Bayern Munich,Home,1-2
09-Nov-25,Ligue 1,Lyon,PSG,Away,2-3
22-Nov-25,Ligue 1,PSG,Le Havre,Home,3-0
26-Nov-25,UEFA Champions League,PSG,Tottenham,Home,5-3
29-Nov-25,Ligue 1,Monaco,PSG,Away,1-0
06-Dec-25,Ligue 1,PSG,Rennes,Home,5-0
10-Dec-25,UEFA Champions League,Athletic Bilbao,PSG,Away,0-0
13-Dec-25,Ligue 1,Metz,PSG,Away,2-3
17-Dec-25,FIFA Club World Cup,PSG,Flamengo,Home,3-2 pens
20-Dec-25,Coupe de France,Vendée Fontenay,PSG,Away,0-4
04-Jan-26,Ligue 1,PSG,Paris FC,Home,2-1
08-Jan-26,Trophée des Champions,PSG,Marseille,Home,6-3 pens
12-Jan-26,Coupe de France,PSG,Paris FC,Home,0-1
16-Jan-26,Ligue 1,PSG,Lille,Home,3-0
20-Jan-26,UEFA Champions League,Sporting CP,PSG,Away,2-1
23-Jan-26,Ligue 1,Auxerre,PSG,Away,0-1
28-Jan-26,UEFA Champions League,PSG,Newcastle,Home,1-1
01-Feb-26,Ligue 1,Strasbourg,PSG,Away,1-2
08-Feb-26,Ligue 1,PSG,Marseille,Home,5-0
13-Feb-26,Ligue 1,Rennes,PSG,Away,3-1
17-Feb-26,UEFA Champions League,Monaco,PSG,Away,2-3
21-Feb-26,Ligue 1,PSG,Metz,Home,3-0
25-Feb-26,UEFA Champions League,PSG,Monaco,Home,2-2
28-Feb-26,Ligue 1,Le Havre,PSG,Away,0-1
06-Mar-26,Ligue 1,PSG,Monaco,Home,1-3
11-Mar-26,UEFA Champions League,PSG,Chelsea,Home,5-2
17-Mar-26,UEFA Champions League,Chelsea,PSG,Away,0-3
21-Mar-26,Ligue 1,Nice,PSG,Away,0-4
03-Apr-26,Ligue 1,PSG,Toulouse,Home,3-1
08-Apr-26,UEFA Champions League,PSG,Liverpool,Home,2-0
14-Apr-26,UEFA Champions League,Liverpool,PSG,Away,0-2
19-Apr-26,Ligue 1,PSG,Lyon,Home,1-2
22-Apr-26,Ligue 1,PSG,Nantes,Home,3-0
25-Apr-26,Ligue 1,Angers,PSG,Away,0-3
28-Apr-26,UEFA Champions League,PSG,Bayern Munich,Home,5-4
02-May-26,Ligue 1,PSG,Lorient,Home,2-2
06-May-26,UEFA Champions League,Bayern Munich,PSG,Away,1-1
10-May-26,Ligue 1,PSG,Brest,Home,1-0
13-May-26,Ligue 1,Lens,PSG,Away,0-2
17-May-26,Ligue 1,Paris FC,PSG,Away,2-1
30-May-26,UEFA Champions League Final,PSG,Arsenal,Home,5-4 pens
10-Aug-25,UEFA Super Cup,PSG,Tottenham,Away,2-2 pens
