Competition,Date,Matchday,HomeTeam,AwayTeam,HomeScore,AwayScore,Result
La Liga,2025-08-19,1,Real Madrid,Osasuna,1,0,W
La Liga,2025-08-24,2,Real Oviedo,Real Madrid,0,3,W
La Liga,2025-08-30,3,Real Madrid,Mallorca,2,1,W
La Liga,2025-09-13,4,Real Sociedad,Real Madrid,1,2,W
Champions League,2025-09-16,1,Real Madrid,Marseille,2,1,W
La Liga,2025-09-20,5,Real Madrid,Espanyol,2,0,W
La Liga,2025-09-23,6,Levante,Real Madrid,1,4,W
La Liga,2025-09-27,7,Real Madrid,Atlético Madrid,2,5,L
Champions League,2025-09-30,2,Real Madrid,Kairat,5,0,W
La Liga,2025-10-04,8,Real Madrid,Villarreal,3,1,W
La Liga,2025-10-19,9,Getafe,Real Madrid,0,1,W
Champions League,2025-10-22,3,Real Madrid,Juventus,1,0,W
La Liga,2025-10-26,10,Real Madrid,Barcelona,2,1,W
La Liga,2025-11-01,11,Real Madrid,Valencia,4,0,W
Champions League,2025-11-04,4,Liverpool,Real Madrid,1,0,L
La Liga,2025-11-09,12,Rayo Vallecano,Real Madrid,0,0,D
La Liga,2025-11-23,13,Elche,Real Madrid,2,2,D
Champions League,2025-11-26,5,Real Madrid,Olympiacos,4,3,W
La Liga,2025-11-30,14,Girona,Real Madrid,1,1,D
La Liga,2025-12-03,15,Athletic Bilbao,Real Madrid,0,3,W
La Liga,2025-12-07,16,Real Madrid,Celta Vigo,0,2,L
Champions League,2025-12-10,6,Real Madrid,Manchester City,1,2,L
La Liga,2025-12-14,17,Alavés,Real Madrid,1,2,W
Copa del Rey,2025-12-17,1,Talavera de la Reina,Real Madrid,2,3,W
La Liga,2025-12-20,18,Real Madrid,Sevilla,2,0,W
La Liga,2026-01-04,19,Real Madrid,Real Betis,5,1,W
Supercopa de España,2026-01-08,SF,Real Madrid,Atlético Madrid,2,1,W
Supercopa de España,2026-01-11,F,Real Madrid,Barcelona,2,3,L
Copa del Rey,2026-01-13,2,Albacete,Real Madrid,3,2,L
La Liga,2026-01-17,20,Real Madrid,Levante,2,0,W
Champions League,2026-01-20,7,Real Madrid,Monaco,6,1,W
La Liga,2026-01-24,21,Villarreal,Real Madrid,0,2,W
Champions League,2026-01-28,8,Benfica,Real Madrid,4,2,L
La Liga,2026-02-01,22,Real Madrid,Rayo Vallecano,2,1,W
La Liga,2026-02-08,23,Valencia,Real Madrid,0,2,W
La Liga,2026-02-14,24,Real Madrid,Real Sociedad,4,1,W
Champions League KOP,2026-02-17,1,Real Madrid,Benfica,1,0,W
La Liga,2026-02-21,25,Osasuna,Real Madrid,2,1,L
Champions League KOP,2026-02-24,2,Benfica,Real Madrid,1,2,W
La Liga,2026-03-02,26,Real Madrid,Getafe,0,1,L
La Liga,2026-03-06,27,Real Madrid,Celta Vigo,2,1,W
Champions League R16,2026-03-11,1,Real Madrid,Manchester City,3,0,W
La Liga,2026-03-15,28,Real Madrid,Elche,4,1,W
Champions League R16,2026-03-17,2,Manchester City,Real Madrid,1,2,W
La Liga,2026-03-22,29,Atlético Madrid,Real Madrid,2,3,W
La Liga,2026-04-04,30,Mallorca,Real Madrid,2,1,L
Champions League QF,2026-04-07,1,Real Madrid,Bayern Munich,1,2,L
La Liga,2026-04-10,31,Real Madrid,Girona,1,1,D
Champions League QF,2026-04-15,2,Bayern Munich,Real Madrid,4,3,L
La Liga,2026-04-21,32,Real Madrid,Alavés,2,1,W
La Liga,2026-04-24,33,Real Betis,Real Madrid,1,1,D
La Liga,2026-05-03,34,Real Madrid,Espanyol,2,0,W
La Liga,2026-05-10,35,Barcelona,Real Madrid,2,0,L
La Liga,2026-05-14,36,Real Madrid,Real Oviedo,2,0,W
La Liga,2026-05-17,37,Sevilla,Real Madrid,0,1,W
La Liga,2026-05-23,38,Real Madrid,Athletic Bilbao,4,2,W
