Date,Competition,Home,Away,Result,Score
03-Dec-25,Premier League,Liverpool,Sunderland,Home,3-1
11-Feb-26,Premier League,Sunderland,Liverpool,Away,0-2
26-Dec-25,Premier League,Chelsea,Sunderland,Home,1-2
24-May-26,Premier League,Chelsea,Sunderland,Home,1-2
21-Dec-25,Premier League,Sunderland,Aston Villa,Away,1-1
17-May-26,Premier League,Aston Villa,Sunderland,Home,2-1
03-Nov-25,Premier League,Sunderland,Everton,Away,1-1
16-Aug-25,Premier League,Sunderland,West Ham,Home,3-0
23-Aug-25,Premier League,Fulham,Sunderland,Away,2-1
30-Aug-25,Premier League,Sunderland,Arsenal,Home,1-2
13-Sep-25,Premier League,Manchester City,Sunderland,Away,4-0
21-Sep-25,Premier League,Sunderland,Brighton,Home,1-1
28-Sep-25,Premier League,Newcastle,Sunderland,Away,2-1
05-Oct-25,Premier League,Sunderland,Liverpool,Home,1-3
19-Oct-25,Premier League,Tottenham,Sunderland,Away,2-0
26-Oct-25,Premier League,Sunderland,Manchester United,Home,0-2
02-Nov-25,Premier League,Sunderland,Everton,Home,1-1
09-Nov-25,Premier League,Wolves,Sunderland,Away,1-0
23-Nov-25,Premier League,Sunderland,Chelsea,Home,2-1
30-Nov-25,Premier League,Sunderland,Bournemouth,Home,2-2
07-Dec-25,Premier League,Brentford,Sunderland,Away,3-1
14-Dec-25,Premier League,Sunderland,Burnley,Home,3-0
21-Dec-25,Premier League,Crystal Palace,Sunderland,Away,1-1
26-Dec-25,Premier League,Sunderland,Leeds United,Home,1-2
01-Jan-26,Premier League,West Ham,Sunderland,Away,1-1
04-Jan-26,Premier League,Sunderland,Aston Villa,Home,1-1
17-Jan-26,Premier League,Arsenal,Sunderland,Away,2-0
31-Jan-26,Premier League,Sunderland,Manchester United,Home,0-1
07-Feb-26,Premier League,Sunderland,Manchester City,Home,1-3
21-Feb-26,Premier League,Sunderland,Brighton,Home,2-1
28-Feb-26,Premier League,Nottingham Forest,Sunderland,Away,2-0
07-Mar-26,Premier League,Sunderland,Everton,Home,1-2
14-Mar-26,Premier League,Chelsea,Sunderland,Away,2-1
21-Mar-26,Premier League,Sunderland,Tottenham,Home,0-0
14-Dec-25,Premier League,Crystal Palace,Sunderland,Home,1-1
29-Nov-25,Premier League,Sunderland,Bournemouth,Away,0-0
28-Feb-26,Premier League,Bournemouth,Sunderland,Home,1-2
14-Dec-25,Premier League,Nottingham Forest,Sunderland,Away,5-0
11-Apr-26,Premier League,Nottingham Forest,Sunderland,Home,1-2
14-Dec-25,Premier League,Sunderland,Newcastle,Home,1-0
21-Dec-25,Premier League,Sunderland,Tottenham,Away,1-1
11-Apr-26,Premier League,Tottenham,Sunderland,Home,0-1
